# Government Variety Pack
# Scripted Variables - Buildings
# Author: littleraskol

# Planetary Synaptic Buildings

@lrsk_gov_var_planet_synaptic_unity_cost_base = 1000
@lrsk_gov_var_planet_synaptic_unity_cost_upgrade_1 = 50
@lrsk_gov_var_planet_synaptic_unity_cost_upgrade_2 = 150
@lrsk_gov_var_planet_synaptic_unity_cost_upgrade_3 = 250
@lrsk_gov_var_planet_synaptic_unity_cost_upgrade_4 = 350

@lrsk_gov_var_planet_synaptic_unity_cost_upkeep_1 = 5
@lrsk_gov_var_planet_synaptic_unity_cost_upkeep_2 = 10
@lrsk_gov_var_planet_synaptic_unity_cost_upkeep_3 = 15
@lrsk_gov_var_planet_synaptic_unity_cost_upkeep_4 = 20
@lrsk_gov_var_planet_synaptic_unity_cost_upkeep_5 = 25

@lrsk_gov_var_planet_synaptic_crime_1 = 0.1
@lrsk_gov_var_planet_synaptic_crime_2 = 0.2
@lrsk_gov_var_planet_synaptic_crime_3 = 0.3
@lrsk_gov_var_planet_synaptic_crime_4 = 0.4
@lrsk_gov_var_planet_synaptic_crime_5 = 0.5

@lrsk_gov_var_planet_synaptic_amenities_1 = 0.05
@lrsk_gov_var_planet_synaptic_amenities_2 = 0.15
@lrsk_gov_var_planet_synaptic_amenities_3 = 0.2
@lrsk_gov_var_planet_synaptic_amenities_4 = 0.25
@lrsk_gov_var_planet_synaptic_amenities_5 = 0.3

@lrsk_gov_var_planet_synaptic_popsreq_1 = 500
@lrsk_gov_var_planet_synaptic_popsreq_2 = 1500
@lrsk_gov_var_planet_synaptic_popsreq_3 = 3000
@lrsk_gov_var_planet_synaptic_popsreq_4 = 5000
@lrsk_gov_var_planet_synaptic_popsreq_5 = 7500

# Automated Indulgence Buildings

@lrsk_autoindolcenter1_time = 1080
@lrsk_autoindolcenter1_minerals = 800
@lrsk_autoindolcenter1_upkeep = 2
@lrsk_autoindolcenter1_amenities = 3
@lrsk_autoindolcenter1_workerprod = 0.025
@lrsk_autoindolcenter1_workforce = 0.05

@lrsk_autoindolcenter2_time = 600
@lrsk_autoindolcenter2_minerals = 1000
@lrsk_autoindolcenter2_upkeep = 5
@lrsk_autoindolcenter2_rare_cost = 100
@lrsk_autoindolcenter2_rare_upkeep = 1
@lrsk_autoindolcenter2_amenities = 6
@lrsk_autoindolcenter2_workerprod = 0.05
@lrsk_autoindolcenter2_workforce = 0.1

@lrsk_autoindolcenter3_time = 720
@lrsk_autoindolcenter3_minerals = 1200
@lrsk_autoindolcenter3_upkeep = 8
@lrsk_autoindolcenter3_rare_cost = 150
@lrsk_autoindolcenter3_rare_upkeep = 2
@lrsk_autoindolcenter3_amenities = 9
@lrsk_autoindolcenter3_workerprod = 0.075
@lrsk_autoindolcenter3_workforce = 0.15

@lrsk_autoindolcenter4_time = 840
@lrsk_autoindolcenter4_minerals = 2000
@lrsk_autoindolcenter4_upkeep = 10
@lrsk_autoindolcenter4_rare_cost = 200
@lrsk_autoindolcenter4_rare_upkeep = 4
@lrsk_autoindolcenter4_amenities = 12
@lrsk_autoindolcenter4_workerprod = 0.1
@lrsk_autoindolcenter4_workforce = 0.2

@lrsk_autoindolfunplex1_time = 720
@lrsk_autoindolfunplex1_minerals = 500
@lrsk_autoindolfunplex1_upkeep = 2

@lrsk_autoindolfunplex2_time = 480
@lrsk_autoindolfunplex2_minerals = 750
@lrsk_autoindolfunplex2_upkeep = 5
@lrsk_autoindolfunplex2_rare_cost = 75
@lrsk_autoindolfunplex2_rare_upkeep = 1

@lrsk_autoindolfunplex3_time = 600
@lrsk_autoindolfunplex3_minerals = 900
@lrsk_autoindolfunplex3_upkeep = 8
@lrsk_autoindolfunplex3_rare_cost = 150
@lrsk_autoindolfunplex3_rare_upkeep = 2
